"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CBLD88","2025-08-24","1110","1115","1108","1111.58","-0.49 %","175.00"
"CFCL","2025-08-24","509","514","505","507.54","-0.13 %","12,575.00"
"CGH","2025-08-24","1058.5","1058.5","1021","1024.41","-3.18 %","94,909.00"
"CHCL","2025-08-24","510.2","514","504","505.9","-1.11 %","48,808.00"
"CHDC","2025-08-24","2574","2590","2500","2528.42","-1.77 %","33,789.00"
"CHL","2025-08-24","295","300.9","292","294.12","-1.04 %","11,608.00"
"CIT","2025-08-24","1960","1960","1925.2","1926.18","-0.35 %","6,312.00"
"CITY","2025-08-24","590","605.8","590","601.97","0.62 %","20,580.00"
"CIZBD86","2025-08-24","1185.9","1190","1185.9","1190","1.28 %","20.00"
"CIZBD90","2025-08-24","1125","1125","1125","1125","-1.88 %","25.00"
"CKHL","2025-08-24","664","700","664","669.4","-0.66 %","910.00"
"CLI","2025-08-24","470.9","480","470.2","474.67","-0.37 %","14,349.00"
"CMF2","2025-08-24","9.89","10.44","9.89","10.26","2.19 %","39,000.00"
"CORBL","2025-08-24","1940","2015","1901.2","1929.33","-2.41 %","1,923.00"
"CREST","2025-08-24","1220.1","1225.9","1166","1181.83","-3.14 %","18,081.00"
"CYCL","2025-08-24","1705","1879","1705","1821.23","4.74 %","4,881.00"
"CZBIL","2025-08-24","207.1","210","206.3","207.11","-0.54 %","36,167.00"
"DDBL","2025-08-24","900","930.3","898.1","901.72","0.83 %","10,382.00"
"DEVBANK","2025-08-24","5774.17","5811.98","5672.8","5678.37","-1.69 %","443,832,749.40"
"DHPL","2025-08-24","322","328","310","311.74","-3.25 %","26,109.00"
"DLBS","2025-08-24","1475","1500","1471.2","1471.2","-1.86 %","456.00"
"DOLTI","2025-08-24","592","592","580","580.2","-1.66 %","3,623.00"
"DORDI","2025-08-24","280.2","284","280.2","282.2","-0.29 %","25,278.00"
"EBL","2025-08-24","748","754","729","732.96","-1.98 %","104,700.00"
"EBLD86","2025-08-24","1046","1050","1046","1050","2.34 %","70.00"
"EBLD91","2025-08-24","1001","1001","995.1","995.1","-0.59 %","75.00"
"EDBL","2025-08-24","624","624","615.1","616.21","-1.45 %","8,668.00"
"EHPL","2025-08-24","589.6","598","589.6","591.59","-1.66 %","809.00"
"ENL","2025-08-24","1055","1065","1047","1063.26","0.86 %","453.00"
"FINANCE","2025-08-24","2454.41","2468.99","2438.17","2441.35","-0.53 %","128,665,083.10"
"FLOAT","2025-08-24","188.78","189.83","187.5","187.62","-0.74 %","6,433,468,756.55"
"FMDBL","2025-08-24","870","880","862.2","864.21","-0.74 %","27,569.00"
"FOWAD","2025-08-24","1125","1141","1120","1141","0.37 %","3,023.00"
"GBBD85","2025-08-24","1033","1053.6","1033","1048","-0.47 %","130.00"
"GBBL","2025-08-24","428.1","432","422","423.52","-0.61 %","65,623.00"
